Complexity,Loss,Equation
1,0.020436844,"0.7559384"
3,0.019543443,"262.96826 / x0"
4,0.007348247,"exp(x7 * -0.19058257)"
5,0.0070261327,"4.423111 / (x7 + 4.4931927)"
7,0.0063168197,"4.4322805 / (x7 + (0.012984006 * x0))"
8,0.0058013326,"4.379459 / (x7 + (inv(x1) + 4.3423233))"
9,0.0045933113,"(3.5764453 / (x7 + 3.9687593)) + (x1 * 0.0020744924)"
10,0.0040579746,"(2.5864007 / (x7 + 3.1330774)) + (log(x1) * 0.051705517)"
12,0.0040462953,"((2.8640337 / (x7 + 3.1504002)) + (log(x1) * 0.059323777)) / 1.1129359"
13,0.0037538637,"(x1 * 0.0021941792) + ((33.80449 / (x7 + 14.867743)) - (x0 * 0.004032189))"
14,0.0031200058,"(23.49743 / (x7 + 12.039773)) + ((log(x1) * 0.055374235) - (x0 * 0.003381953))"
16,0.0030070555,"(((x7 + 11.57752) / (x7 + 5.46568)) + (log(x1) * 0.055408243)) - (x0 * 0.0038021556)"
17,0.0027422553,"((16.157827 / (x7 + 9.665369)) + (log(x1) * 0.056628607)) - ((x0 - cube(x3)) * 0.002592875)"
19,0.0024547,"(((x7 + 11.585154) / (x7 + 5.4932)) + (log(x1) * 0.0528876)) - ((x0 - cube(x3)) * 0.0038087773)"
